,similarity,num_datapoints,cluster_id
97,0.7731247544288635,2,97
30,0.767879843711853,4,30
100,0.7509098649024963,390,100
24,0.7479814887046814,350,24
53,0.7474132180213928,3,53
27,0.7272467017173767,229,27
177,0.7223567366600037,276,177
29,0.7207647562026978,396,29
181,0.7206724286079407,343,181
164,0.714268147945404,5,164
101,0.7126882076263428,556,101
180,0.7101470828056335,297,180
55,0.7058583498001099,216,55
58,0.7045879364013672,311,58
11,0.7021373510360718,296,11
161,0.7004683613777161,201,161
86,0.7001244425773621,8,86
41,0.699850857257843,39,41
126,0.6985034346580505,290,126
218,0.6983968615531921,205,218
94,0.6983916759490967,7,94
7,0.6982230544090271,182,7
162,0.6972704529762268,147,162
191,0.6967605352401733,28,191
15,0.6966991424560547,155,15
182,0.6966700553894043,387,182
113,0.6952695250511169,151,113
198,0.6946448683738708,343,198
197,0.6937000751495361,297,197
172,0.6931930184364319,313,172
217,0.6931828856468201,150,217
156,0.6922921538352966,272,156
14,0.6912256479263306,90,14
8,0.6907488703727722,206,8
40,0.6905596256256104,304,40
80,0.690015971660614,287,80
195,0.6888830661773682,253,195
3,0.6882217526435852,578,3
73,0.687129557132721,211,73
119,0.6868761777877808,318,119
50,0.6864744424819946,279,50
22,0.6851739287376404,211,22
188,0.6832622289657593,388,188
20,0.6827089786529541,233,20
129,0.6813881397247314,490,129
207,0.6796717643737793,203,207
36,0.6795554161071777,227,36
196,0.6795527935028076,18,196
131,0.6777715682983398,67,131
98,0.6758935451507568,6,98
200,0.6746773719787598,196,200
95,0.6744580864906311,487,95
209,0.6742191314697266,297,209
16,0.6735466122627258,299,16
185,0.6715124249458313,213,185
122,0.6713272333145142,552,122
90,0.6694918274879456,130,90
4,0.6693476438522339,116,4
88,0.6670255064964294,4,88
65,0.6664556860923767,54,65
5,0.6657729148864746,8,5
186,0.6654677987098694,577,186
34,0.6652199029922485,310,34
134,0.665219783782959,50,134
214,0.6628304123878479,213,214
175,0.6610539555549622,7,175
160,0.6598173379898071,36,160
151,0.6594744324684143,188,151
133,0.6594368815422058,289,133
158,0.6589401960372925,15,158
105,0.65859454870224,203,105
125,0.6579406261444092,248,125
173,0.6575969457626343,410,173
39,0.6575629711151123,264,39
25,0.6571711897850037,352,25
120,0.6547301411628723,184,120
174,0.6539044380187988,12,174
91,0.6534691452980042,400,91
23,0.6533432602882385,395,23
147,0.651340663433075,249,147
202,0.6508824229240417,462,202
102,0.6505682468414307,351,102
60,0.6504339575767517,294,60
144,0.6500014662742615,354,144
219,0.6497064232826233,299,219
43,0.6497014760971069,63,43
118,0.6492091417312622,391,118
170,0.6490389704704285,266,170
99,0.6484188437461853,332,99
13,0.6483076214790344,421,13
124,0.6482909917831421,324,124
37,0.647830605506897,287,37
168,0.6467442512512207,333,168
0,0.645755410194397,64,0
153,0.6452561616897583,308,153
187,0.6446095705032349,355,187
71,0.6445237398147583,69,71
12,0.644258439540863,311,12
104,0.6441586017608643,422,104
211,0.643872082233429,442,211
107,0.6433520317077637,330,107
81,0.642291784286499,332,81
179,0.6415654420852661,338,179
44,0.640862762928009,32,44
54,0.6388962268829346,357,54
62,0.6387701034545898,428,62
111,0.6380133628845215,416,111
1,0.6378781795501709,28,1
106,0.6375382542610168,247,106
123,0.6369063854217529,278,123
77,0.6365357637405396,284,77
121,0.6358711123466492,418,121
64,0.6358523964881897,264,64
171,0.6358262896537781,305,171
132,0.634905993938446,190,132
82,0.6343677639961243,551,82
208,0.6342765092849731,465,208
155,0.6323776841163635,443,155
212,0.6318627595901489,420,212
45,0.6314855217933655,216,45
139,0.6309817433357239,222,139
21,0.6293314695358276,465,21
19,0.629067063331604,571,19
193,0.6278694272041321,214,193
206,0.6278594732284546,302,206
92,0.6276895403862,467,92
52,0.6253906488418579,22,52
194,0.6252716779708862,542,194
112,0.6239886283874512,276,112
216,0.6233865022659302,548,216
66,0.6220929026603699,305,66
48,0.6216105818748474,369,48
215,0.6191002130508423,28,215
51,0.6189427971839905,343,51
74,0.6185745596885681,323,74
49,0.6183837652206421,356,49
75,0.6178138852119446,384,75
189,0.6176693439483643,567,189
114,0.6174809336662292,560,114
18,0.6172109842300415,409,18
166,0.6171663403511047,446,166
201,0.6170362830162048,494,201
140,0.6164928674697876,570,140
68,0.6164724230766296,231,68
163,0.616208553314209,211,163
89,0.6135725378990173,289,89
143,0.6128409504890442,320,143
204,0.6124131679534912,252,204
142,0.6116065979003906,424,142
26,0.6111483573913574,355,26
183,0.6104403734207153,105,183
33,0.6098220944404602,434,33
46,0.6088992953300476,281,46
213,0.6085342764854431,414,213
17,0.6080649495124817,325,17
150,0.6069762706756592,373,150
31,0.604595959186554,219,31
96,0.6044015884399414,293,96
127,0.6002709865570068,581,127
116,0.5974225997924805,334,116
136,0.5972133278846741,509,136
157,0.5965873599052429,318,157
87,0.596446692943573,28,87
69,0.5960485935211182,351,69
117,0.5949914455413818,464,117
61,0.5912179350852966,343,61
28,0.5903748869895935,463,28
138,0.5903418064117432,452,138
67,0.5903176665306091,264,67
83,0.5894577503204346,342,83
10,0.5888187885284424,376,10
