,similarity,num_datapoints,cluster_id
173,0.8572567105293274,2,173
143,0.7660947442054749,19,143
44,0.7519446015357971,338,44
0,0.7499282956123352,335,0
137,0.7383866906166077,97,137
201,0.733876645565033,214,201
118,0.7308352589607239,26,118
75,0.7283090949058533,344,75
37,0.7274764180183411,272,37
141,0.7245746850967407,350,141
215,0.7216257452964783,605,215
63,0.7134062051773071,201,63
114,0.7110381126403809,276,114
160,0.7092353701591492,241,160
210,0.7079073786735535,45,210
230,0.7074021100997925,300,230
130,0.7058971524238586,379,130
115,0.7042000889778137,108,115
40,0.703984797000885,222,40
154,0.7030747532844543,12,154
97,0.7030271291732788,33,97
103,0.7025064826011658,181,103
6,0.7009785175323486,229,6
23,0.7008875012397766,156,23
204,0.6995663046836853,21,204
219,0.6992232203483582,344,219
22,0.6969894766807556,291,22
5,0.6955219507217407,283,5
54,0.6943367123603821,414,54
187,0.6940829753875732,196,187
116,0.6925355195999146,272,116
159,0.6922945380210876,22,159
26,0.691757082939148,216,26
25,0.691524088382721,318,25
89,0.690613865852356,489,89
79,0.6902028918266296,205,79
190,0.6900783181190491,204,190
175,0.6888373494148254,208,175
136,0.686825692653656,187,136
238,0.6854882836341858,296,238
15,0.6852695345878601,299,15
106,0.684995174407959,454,106
87,0.6845874786376953,335,87
128,0.6834087371826172,86,128
182,0.6828100681304932,213,182
134,0.6816844344139099,286,134
19,0.6816308498382568,215,19
113,0.681562602519989,266,113
202,0.68110191822052,235,202
99,0.6803156733512878,322,99
74,0.6769635081291199,164,74
52,0.6768918037414551,295,52
188,0.6767536997795105,285,188
80,0.6764889359474182,250,80
82,0.6763318181037903,282,82
14,0.675858736038208,210,14
195,0.6750672459602356,162,195
126,0.6744210720062256,378,126
216,0.6734798550605774,176,216
162,0.6724411845207214,91,162
161,0.6695502996444702,202,161
194,0.6692777276039124,302,194
92,0.6679589152336121,55,92
181,0.6667095422744751,19,181
32,0.6646916270256042,201,32
228,0.6643264889717102,13,228
46,0.6624847054481506,153,46
105,0.6618090271949768,317,105
57,0.6606366038322449,320,57
146,0.6600515246391296,224,146
42,0.6595058441162109,260,42
93,0.6593950390815735,301,93
73,0.6588016152381897,280,73
34,0.6574482321739197,205,34
232,0.6564680933952332,314,232
11,0.656024158000946,160,11
10,0.6557821035385132,208,10
53,0.6555612087249756,336,53
155,0.65471351146698,245,155
123,0.654583752155304,118,123
90,0.6538543701171875,310,90
3,0.6537232995033264,93,3
142,0.6535043120384216,219,142
66,0.6532714366912842,417,66
168,0.6519957184791565,288,168
85,0.6518317461013794,365,85
222,0.6516823768615723,278,222
207,0.6514142751693726,272,207
224,0.6509950160980225,200,224
214,0.6504253149032593,407,214
208,0.6497656106948853,360,208
111,0.6489083766937256,379,111
122,0.6484182476997375,70,122
145,0.6481488347053528,351,145
47,0.6473590135574341,465,47
206,0.647071897983551,143,206
29,0.6466293931007385,130,29
139,0.6460328102111816,239,139
166,0.645889937877655,218,166
209,0.6455828547477722,122,209
70,0.6454486846923828,26,70
112,0.6451424956321716,290,112
178,0.6439874768257141,337,178
185,0.6437268257141113,91,185
124,0.6434903144836426,244,124
109,0.6432580947875977,152,109
169,0.6431989669799805,253,169
55,0.6420853734016418,263,55
236,0.6417689323425293,243,236
30,0.6412338614463806,390,30
43,0.6411156058311462,135,43
16,0.6407986283302307,365,16
192,0.6405362486839294,247,192
110,0.6400507092475891,388,110
84,0.6399402022361755,223,84
133,0.6399352550506592,249,133
17,0.639701247215271,353,17
199,0.6393089890480042,229,199
165,0.6390505433082581,59,165
9,0.6382619738578796,215,9
177,0.6376844644546509,511,177
108,0.6376612186431885,373,108
171,0.6365519762039185,438,171
51,0.6360917091369629,418,51
211,0.6346921324729919,282,211
107,0.6346898078918457,382,107
205,0.6344793438911438,302,205
96,0.6337891817092896,390,96
8,0.6335172653198242,621,8
31,0.6332570910453796,398,31
220,0.6319924592971802,80,220
179,0.6318031549453735,75,179
172,0.6294245719909668,357,172
221,0.6293028593063354,45,221
117,0.6283555626869202,197,117
218,0.628334641456604,306,218
39,0.6265503764152527,288,39
35,0.626325786113739,159,35
102,0.6262014508247375,96,102
41,0.6260899901390076,340,41
61,0.6250896453857422,202,61
83,0.6248064041137695,468,83
71,0.6236848831176758,369,71
33,0.6233335137367249,242,33
60,0.6223701238632202,312,60
156,0.6219974756240845,335,156
198,0.620494544506073,350,198
78,0.6202660202980042,173,78
77,0.6199846863746643,257,77
174,0.6188154220581055,266,174
