,similarity,num_datapoints,cluster_id
47,0.7384805083274841,713,47
76,0.7168453931808472,296,76
137,0.7164512276649475,258,137
45,0.7121825814247131,343,45
89,0.7095383405685425,636,89
30,0.7085075974464417,323,30
12,0.7045366168022156,577,12
103,0.7017113566398621,230,103
149,0.6994519829750061,75,149
143,0.6974408030509949,266,143
90,0.6941086649894714,551,90
20,0.6928913593292236,286,20
52,0.6927367448806763,310,52
99,0.6892922520637512,444,99
80,0.6887847185134888,333,80
29,0.6845210790634155,301,29
73,0.6825728416442871,320,73
15,0.6810946464538574,337,15
38,0.6810449957847595,327,38
57,0.6805709004402161,624,57
37,0.6790926456451416,520,37
138,0.6784676909446716,244,138
101,0.6782777905464172,264,101
104,0.6769681572914124,325,104
63,0.6758474111557007,363,63
25,0.6718385219573975,690,25
111,0.6706728339195251,297,111
16,0.670653223991394,319,16
78,0.6697364449501038,299,78
21,0.6664314866065979,343,21
51,0.6641709804534912,563,51
118,0.6638079881668091,604,118
32,0.6601471900939941,451,32
121,0.6596312522888184,200,121
65,0.6580324769020081,553,65
23,0.65777987241745,347,23
60,0.6575552225112915,383,60
113,0.6545668840408325,614,113
145,0.6538249850273132,520,145
86,0.6537024974822998,491,86
123,0.6525006890296936,27,123
97,0.6513437032699585,465,97
43,0.6511010527610779,189,43
17,0.6509716510772705,60,17
116,0.6507358551025391,23,116
24,0.6482965350151062,461,24
131,0.6474551558494568,415,131
75,0.647094190120697,460,75
125,0.6467819809913635,388,125
129,0.646353542804718,184,129
79,0.6463261842727661,322,79
40,0.6453048586845398,344,40
27,0.6412733197212219,353,27
85,0.6411190032958984,656,85
4,0.6397480368614197,506,4
128,0.638346791267395,426,128
144,0.6382876038551331,522,144
105,0.6370031237602234,316,105
67,0.6354035139083862,502,67
84,0.6353634595870972,538,84
10,0.6347717642784119,432,10
140,0.6347551941871643,426,140
7,0.6341902017593384,331,7
98,0.6335415244102478,419,98
82,0.6326712965965271,532,82
22,0.6316742300987244,270,22
71,0.6316672563552856,599,71
31,0.6308819651603699,552,31
117,0.6304540634155273,289,117
127,0.630452573299408,421,127
106,0.6296206712722778,414,106
77,0.6294583082199097,287,77
114,0.6293389797210693,351,114
33,0.6288182735443115,388,33
58,0.6288180947303772,386,58
142,0.628719687461853,379,142
46,0.6286126375198364,339,46
42,0.6277329325675964,498,42
94,0.6266177892684937,352,94
135,0.6263837218284607,401,135
146,0.6262297630310059,387,146
112,0.6260426044464111,443,112
132,0.6259509921073914,335,132
39,0.6258946657180786,461,39
6,0.625765323638916,497,6
141,0.6256486773490906,624,141
13,0.6237672567367554,474,13
35,0.6219685673713684,18,35
5,0.6211468577384949,530,5
41,0.6206443905830383,717,41
95,0.6196122169494629,510,95
120,0.6193004846572876,611,120
54,0.6189643144607544,497,54
3,0.6185107827186584,432,3
8,0.6182935237884521,694,8
74,0.6122658848762512,453,74
26,0.6106266975402832,644,26
119,0.6094386577606201,393,119
11,0.6093087792396545,400,11
92,0.6073328852653503,299,92
62,0.6062551140785217,653,62
50,0.6057265996932983,402,50
19,0.6037789583206177,778,19
0,0.6030382513999939,533,0
69,0.6024144291877747,337,69
48,0.6015110015869141,335,48
122,0.5992711782455444,785,122
133,0.5956602692604065,654,133
14,0.5942654013633728,672,14
56,0.5934340953826904,499,56
130,0.5922195911407471,900,130
115,0.5899581909179688,370,115
44,0.5879652500152588,359,44
88,0.5862352848052979,461,88
110,0.5821267366409302,884,110
136,0.5817242860794067,593,136
134,0.5797666907310486,410,134
68,0.5788460969924927,284,68
9,0.5760730504989624,717,9
87,0.5756812691688538,633,87
55,0.575222373008728,489,55
83,0.5744116902351379,680,83
18,0.572925329208374,412,18
96,0.5723980069160461,613,96
147,0.5685558915138245,576,147
66,0.5647336840629578,509,66
81,0.5638192892074585,397,81
28,0.560506284236908,600,28
36,0.5599498152732849,560,36
126,0.5573029518127441,321,126
139,0.5571171641349792,768,139
72,0.5569128394126892,513,72
2,0.5557507872581482,653,2
100,0.5516949892044067,674,100
59,0.5479723215103149,1093,59
124,0.5456646680831909,1015,124
91,0.541434109210968,524,91
1,0.537108302116394,631,1
70,0.5344040989875793,553,70
64,0.5337539315223694,354,64
34,0.5286945700645447,636,34
148,0.527386486530304,605,148
93,0.5190627574920654,911,93
102,0.5095825791358948,481,102
107,0.5076307058334351,516,107
109,0.5053151249885559,469,109
53,0.4867200255393982,617,53
49,0.47775930166244507,548,49
108,0.44227007031440735,895,108
61,0.4416525363922119,546,61
