,similarity,num_datapoints,cluster_id
56,0.7573239803314209,338,56
127,0.7504291534423828,334,127
110,0.7232384085655212,195,110
118,0.7177028059959412,370,118
0,0.7155331969261169,294,0
46,0.7123985886573792,415,46
4,0.7112634778022766,5,4
28,0.7099152207374573,150,28
132,0.7081062197685242,265,132
94,0.7057508826255798,355,94
105,0.7056353688240051,42,105
3,0.7041950225830078,370,3
45,0.7037659287452698,154,45
48,0.7003850340843201,359,48
39,0.6943628191947937,169,39
151,0.6943180561065674,494,151
155,0.69428551197052,466,155
180,0.6942013502120972,325,180
164,0.6936941146850586,291,164
77,0.6928998827934265,147,77
130,0.6926742196083069,271,130
109,0.6919918656349182,269,109
70,0.6902318000793457,511,70
36,0.6898065805435181,224,36
79,0.6888772249221802,443,79
142,0.6877841353416443,343,142
161,0.6871890425682068,430,161
159,0.6852812767028809,90,159
26,0.6837114095687866,274,26
125,0.6818523406982422,257,125
57,0.6818321347236633,183,57
181,0.6814492344856262,393,181
128,0.680769681930542,335,128
136,0.6800147294998169,311,136
44,0.6796766519546509,441,44
15,0.6796256899833679,444,15
84,0.6794019341468811,243,84
34,0.6793367266654968,443,34
143,0.6787611842155457,339,143
186,0.6772474646568298,231,186
63,0.6760792136192322,20,63
49,0.6752209067344666,237,49
145,0.6749737858772278,165,145
33,0.6731496453285217,144,33
176,0.6731474995613098,491,176
107,0.672795832157135,212,107
138,0.6711263060569763,222,138
47,0.6674726009368896,318,47
62,0.6664515137672424,71,62
91,0.6619387269020081,23,91
158,0.6600649952888489,257,158
98,0.6593044996261597,241,98
40,0.6585602164268494,48,40
95,0.6579797267913818,347,95
43,0.657537043094635,20,43
11,0.657459557056427,275,11
126,0.6569653153419495,273,126
103,0.6562719345092773,445,103
144,0.6559241414070129,594,144
194,0.6558563113212585,274,194
1,0.6546952128410339,187,1
72,0.6527203917503357,162,72
153,0.6520929932594299,332,153
182,0.6508247256278992,269,182
5,0.6505686044692993,476,5
82,0.6502314805984497,320,82
21,0.6488906145095825,271,21
76,0.6485952734947205,358,76
31,0.6483463048934937,339,31
6,0.6477490663528442,521,6
123,0.6469293236732483,435,123
146,0.6469111442565918,281,146
198,0.6464942693710327,20,198
178,0.6462767124176025,347,178
169,0.6460831165313721,394,169
29,0.6455989480018616,308,29
24,0.6439054608345032,21,24
66,0.6435636281967163,474,66
17,0.6433781385421753,81,17
114,0.64263916015625,361,114
74,0.642378032207489,385,74
150,0.6423038840293884,419,150
23,0.6412912607192993,490,23
41,0.6409695744514465,387,41
119,0.6408749222755432,289,119
101,0.6405062079429626,222,101
116,0.6382468938827515,349,116
22,0.637377917766571,282,22
154,0.6370514035224915,386,154
162,0.6369633674621582,352,162
137,0.6367895007133484,325,137
135,0.6367882490158081,330,135
134,0.6346182823181152,249,134
12,0.6341749429702759,13,12
148,0.63382488489151,353,148
157,0.6328050494194031,268,157
156,0.6326747536659241,321,156
8,0.6326537132263184,331,8
7,0.6311829686164856,368,7
69,0.6311282515525818,422,69
67,0.6299808025360107,272,67
141,0.6298189163208008,341,141
147,0.629221498966217,331,147
58,0.6286731362342834,515,58
90,0.628632664680481,263,90
38,0.628585159778595,274,38
152,0.6285600066184998,387,152
188,0.6280611157417297,462,188
55,0.6279568672180176,469,55
100,0.6274673342704773,345,100
104,0.6274309158325195,211,104
131,0.6269342303276062,564,131
168,0.6266176700592041,169,168
52,0.6256515979766846,343,52
18,0.6252782940864563,208,18
54,0.6250812411308289,356,54
165,0.6250686049461365,339,165
193,0.6250281929969788,322,193
163,0.6229146122932434,481,163
185,0.6222101449966431,262,185
60,0.6219978928565979,398,60
179,0.6217342615127563,512,179
99,0.6212313175201416,388,99
190,0.6203005909919739,384,190
174,0.6201671957969666,235,174
175,0.619346022605896,553,175
81,0.6189996600151062,305,81
9,0.6176238059997559,420,9
35,0.6174724698066711,364,35
177,0.6167905926704407,668,177
108,0.6157689094543457,190,108
111,0.6150866150856018,396,111
50,0.614402711391449,157,50
189,0.6126389503479004,392,189
96,0.6121810078620911,350,96
53,0.6108943819999695,455,53
187,0.6106753945350647,394,187
195,0.6094708442687988,464,195
