,similarity,num_datapoints,cluster_id
106,1.0000001192092896,1,106
246,0.9999999403953552,1,246
150,0.8827928900718689,2,150
4,0.7995520830154419,5,4
49,0.7968237400054932,3,49
199,0.7832477688789368,4,199
74,0.7787903547286987,3,74
102,0.7679174542427063,7,102
253,0.7555477023124695,271,253
176,0.7522668838500977,31,176
196,0.750056803226471,184,196
56,0.7447869777679443,304,56
288,0.744329035282135,32,288
103,0.740272581577301,76,103
260,0.7386155128479004,17,260
209,0.7333798408508301,221,209
35,0.7332063317298889,200,35
321,0.7326102256774902,92,321
85,0.7307772636413574,23,85
155,0.7301708459854126,19,155
190,0.7278450727462769,89,190
311,0.726870059967041,289,311
169,0.725767195224762,232,169
317,0.7256675958633423,99,317
92,0.7251198887825012,7,92
334,0.7235321998596191,365,334
32,0.7229412794113159,123,32
297,0.7216170430183411,24,297
347,0.7200126647949219,28,347
149,0.7182643413543701,8,149
340,0.7166280746459961,289,340
244,0.7160279750823975,203,244
116,0.7152611017227173,162,116
47,0.7139955163002014,276,47
44,0.7135519981384277,15,44
203,0.7125705480575562,147,203
341,0.7124413251876831,33,341
220,0.7121599912643433,34,220
119,0.7118645906448364,38,119
12,0.7111504673957825,135,12
262,0.7100368738174438,356,262
257,0.7081984281539917,17,257
187,0.7081688046455383,90,187
194,0.7068947553634644,110,194
182,0.7062084078788757,130,182
201,0.7058828473091125,167,201
91,0.7051944732666016,111,91
94,0.7044005393981934,298,94
269,0.7042770385742188,12,269
252,0.7042453289031982,224,252
51,0.7041937112808228,205,51
339,0.7040852904319763,233,339
283,0.7036659121513367,17,283
256,0.7035384178161621,121,256
242,0.7030304074287415,104,242
268,0.7024679780006409,28,268
265,0.7018553614616394,423,265
261,0.701310932636261,273,261
189,0.7012163400650024,148,189
310,0.6999889612197876,274,310
349,0.6993973851203918,99,349
164,0.6992091536521912,199,164
306,0.6985796093940735,215,306
142,0.6980467438697815,354,142
40,0.6977978944778442,204,40
192,0.6957858204841614,165,192
198,0.6952537894248962,6,198
291,0.6945623755455017,280,291
9,0.6940116286277771,15,9
61,0.6921067237854004,184,61
98,0.6918716430664062,112,98
240,0.691606342792511,131,240
27,0.6915656924247742,147,27
274,0.6908041834831238,180,274
33,0.6902316212654114,17,33
316,0.6894486546516418,107,316
282,0.6891119480133057,205,282
243,0.6870887875556946,171,243
121,0.6869505643844604,200,121
249,0.6868835091590881,253,249
254,0.6857993006706238,23,254
251,0.685571014881134,187,251
222,0.6849186420440674,313,222
168,0.6849097609519958,22,168
75,0.6842485070228577,281,75
14,0.6840187311172485,345,14
128,0.6827914714813232,8,128
144,0.6827859878540039,40,144
151,0.682521402835846,53,151
135,0.6823886036872864,37,135
57,0.6812248229980469,218,57
200,0.6804739832878113,440,200
63,0.6787391901016235,19,63
338,0.6779271960258484,42,338
232,0.677390992641449,86,232
145,0.6770496368408203,210,145
76,0.6753759980201721,384,76
104,0.6746723651885986,324,104
81,0.6741865873336792,104,81
248,0.674065351486206,358,248
115,0.6732287406921387,40,115
37,0.6725399494171143,42,37
108,0.6719733476638794,223,108
86,0.6718378663063049,7,86
163,0.6717378497123718,91,163
132,0.671295702457428,65,132
226,0.6711256504058838,184,226
197,0.6711159944534302,36,197
342,0.6707879900932312,232,342
273,0.6707421541213989,72,273
263,0.6698728799819946,5,263
294,0.6692448258399963,74,294
264,0.6686329245567322,249,264
6,0.6684526801109314,275,6
239,0.6680200099945068,53,239
178,0.667748749256134,214,178
52,0.6675264239311218,12,52
205,0.666977047920227,59,205
322,0.6666995882987976,180,322
67,0.6666098833084106,171,67
43,0.6664956212043762,149,43
211,0.6663305759429932,248,211
30,0.6651585102081299,263,30
188,0.6650630235671997,18,188
234,0.6650088429450989,227,234
279,0.6644019484519958,202,279
84,0.6639997959136963,332,84
233,0.6639835834503174,222,233
175,0.6639405488967896,48,175
323,0.6636792421340942,88,323
301,0.662082850933075,88,301
348,0.6619904041290283,360,348
191,0.6606268286705017,153,191
345,0.6593340039253235,149,345
286,0.6593132019042969,165,286
255,0.6581152081489563,26,255
302,0.657471776008606,190,302
333,0.6573832631111145,69,333
184,0.6569777727127075,316,184
21,0.6560877561569214,273,21
336,0.6559491753578186,271,336
88,0.6555617451667786,173,88
22,0.6551582217216492,241,22
337,0.6551562547683716,287,337
70,0.6545556783676147,164,70
167,0.6544762253761292,284,167
290,0.654181957244873,110,290
130,0.6540092825889587,54,130
186,0.6538752317428589,72,186
141,0.6535940766334534,53,141
68,0.6535739898681641,57,68
71,0.6534474492073059,341,71
97,0.6529080271720886,224,97
15,0.6527773141860962,24,15
237,0.6526578068733215,8,237
307,0.652654767036438,269,307
195,0.6517117023468018,248,195
152,0.6516972184181213,282,152
50,0.6515778303146362,330,50
324,0.6514446139335632,268,324
17,0.6498507261276245,10,17
325,0.6497832536697388,70,325
329,0.6495175361633301,292,329
157,0.6490093469619751,356,157
238,0.6488694548606873,120,238
1,0.64885413646698,163,1
28,0.6485557556152344,9,28
202,0.6483067274093628,21,202
137,0.6480993032455444,53,137
112,0.6480304598808289,190,112
154,0.6478374600410461,200,154
305,0.6477135419845581,326,305
139,0.6474743485450745,28,139
170,0.64726322889328,53,170
129,0.6471394896507263,221,129
267,0.6467106342315674,201,267
314,0.6465238332748413,29,314
245,0.6461997032165527,219,245
123,0.6453824639320374,121,123
280,0.6452264785766602,242,280
218,0.6447973251342773,257,218
224,0.6445757150650024,166,224
250,0.6445532441139221,8,250
331,0.6444289088249207,187,331
300,0.6442595720291138,337,300
229,0.6442027688026428,118,229
215,0.6431543827056885,129,215
113,0.642291784286499,36,113
13,0.6418685913085938,134,13
59,0.6418567299842834,88,59
312,0.6408678293228149,293,312
296,0.6407923698425293,246,296
159,0.640423059463501,169,159
278,0.6402345299720764,138,278
124,0.6398537755012512,99,124
20,0.6397120356559753,443,20
45,0.639593780040741,54,45
147,0.6394962668418884,194,147
