,similarity,num_datapoints,cluster_id
180,1.0000001192092896,1,180
86,0.8015642166137695,6,86
45,0.758812427520752,18,45
146,0.7587972283363342,2,146
53,0.7556313276290894,311,53
33,0.7553203701972961,15,33
55,0.7450852990150452,4,55
161,0.7448851466178894,309,161
91,0.7417290210723877,58,91
225,0.7357630133628845,155,225
160,0.7351453304290771,6,160
175,0.7330344319343567,19,175
138,0.7314701676368713,9,138
296,0.7295715808868408,174,296
198,0.7219210863113403,19,198
77,0.721680223941803,219,77
288,0.7208796143531799,351,288
58,0.7208148241043091,170,58
49,0.7207998633384705,18,49
206,0.7173954248428345,13,206
9,0.7172002792358398,246,9
98,0.7160457372665405,235,98
39,0.7143239974975586,202,39
114,0.7141780853271484,289,114
219,0.7132654190063477,51,219
79,0.7129495143890381,209,79
30,0.7126834988594055,27,30
6,0.7121975421905518,314,6
18,0.7118806838989258,83,18
187,0.7116754651069641,194,187
222,0.7096399664878845,30,222
142,0.7094294428825378,214,142
0,0.7088803052902222,4,0
61,0.7085045576095581,25,61
95,0.7079616189002991,308,95
145,0.7075550556182861,226,145
265,0.7063940763473511,4,265
158,0.7057347893714905,292,158
169,0.704719066619873,264,169
136,0.7027226686477661,51,136
238,0.7020912170410156,13,238
299,0.7011260986328125,164,299
47,0.6989459991455078,242,47
34,0.6983770728111267,34,34
69,0.6977414488792419,151,69
144,0.6973055601119995,426,144
194,0.6972176432609558,202,194
172,0.6963587403297424,182,172
252,0.6957537531852722,160,252
121,0.6957216858863831,389,121
5,0.695645272731781,262,5
289,0.6953179240226746,269,289
110,0.6952341198921204,191,110
297,0.695000410079956,152,297
281,0.6947295069694519,17,281
177,0.6942712664604187,201,177
277,0.6940038204193115,128,277
223,0.6936143636703491,33,223
195,0.692598283290863,178,195
197,0.6924057602882385,27,197
282,0.6920533180236816,17,282
68,0.6918922662734985,42,68
3,0.6906455159187317,187,3
78,0.6892825365066528,228,78
280,0.6883033514022827,486,280
20,0.6871051788330078,23,20
179,0.6860648393630981,311,179
295,0.6858436465263367,238,295
229,0.6857584118843079,245,229
165,0.6855127811431885,591,165
12,0.6845763325691223,244,12
22,0.6844061017036438,247,22
204,0.6832231283187866,10,204
176,0.6811696290969849,387,176
267,0.6809118390083313,277,267
116,0.6800253391265869,14,116
66,0.6800113320350647,303,66
113,0.6792265772819519,15,113
141,0.6782936453819275,474,141
248,0.6780511736869812,352,248
29,0.6764189004898071,30,29
13,0.6744148135185242,156,13
279,0.6728139519691467,254,279
75,0.6723458170890808,284,75
43,0.6714872121810913,67,43
40,0.6709234118461609,15,40
118,0.6677483320236206,109,118
183,0.6668521761894226,183,183
101,0.66646409034729,471,101
246,0.6649994850158691,43,246
106,0.6641053557395935,310,106
185,0.6637928485870361,94,185
48,0.6635389924049377,143,48
105,0.6631038188934326,25,105
37,0.6628337502479553,264,37
17,0.6626805663108826,47,17
259,0.6622374057769775,15,259
153,0.6616130471229553,245,153
242,0.6616109609603882,31,242
262,0.6614997982978821,307,262
272,0.6610616445541382,17,272
247,0.6609666347503662,299,247
173,0.6609368920326233,11,173
