,similarity,num_datapoints,cluster_id
199,1.000000238418579,1,199
195,1.000000238418579,1,195
433,1.0,1,433
124,1.0,1,124
442,1.0,1,442
309,1.0,1,309
348,0.9999999403953552,1,348
321,0.9999998807907104,1,321
474,0.9999998807907104,1,474
227,0.8681042790412903,2,227
85,0.8401545286178589,3,85
401,0.8200404644012451,2,401
327,0.8113349676132202,2,327
254,0.7882579565048218,3,254
476,0.7808716297149658,2,476
149,0.7748395204544067,7,149
21,0.769820511341095,6,21
389,0.7607959508895874,2,389
224,0.7540352940559387,29,224
46,0.7510429620742798,100,46
483,0.7499340772628784,3,483
73,0.7485700845718384,18,73
125,0.7462676167488098,10,125
340,0.7461463809013367,16,340
337,0.7371548414230347,4,337
5,0.736680805683136,3,5
460,0.7352025508880615,14,460
43,0.7326809167861938,31,43
180,0.731392502784729,278,180
112,0.7309603691101074,54,112
381,0.730100691318512,25,381
25,0.7263240814208984,97,25
146,0.7231820821762085,4,146
323,0.7220133543014526,4,323
490,0.7218536734580994,49,490
471,0.7194538116455078,39,471
304,0.7192903757095337,15,304
157,0.7183340787887573,32,157
312,0.7174805998802185,17,312
273,0.7139097452163696,5,273
8,0.7109876275062561,18,8
36,0.7094754576683044,111,36
372,0.7093630433082581,133,372
190,0.7090389728546143,6,190
92,0.7088916897773743,270,92
409,0.7086130976676941,62,409
218,0.7071533799171448,93,218
353,0.7043744325637817,22,353
177,0.704086184501648,4,177
480,0.7037120461463928,12,480
89,0.7036887407302856,4,89
435,0.7033405900001526,191,435
390,0.7029935717582703,17,390
62,0.7014118432998657,13,62
425,0.7002793550491333,171,425
307,0.7000288963317871,161,307
484,0.696492612361908,190,484
450,0.6961374282836914,113,450
104,0.696062445640564,93,104
174,0.6952196359634399,121,174
234,0.6946762800216675,36,234
479,0.6934784650802612,10,479
213,0.6933243274688721,260,213
225,0.6930432915687561,173,225
299,0.6914730072021484,111,299
405,0.6901204586029053,187,405
233,0.6895802021026611,87,233
9,0.6890750527381897,28,9
130,0.6874814629554749,3,130
97,0.686002254486084,45,97
448,0.6853774785995483,14,448
209,0.6850679516792297,191,209
387,0.6846143007278442,16,387
11,0.6836080551147461,87,11
193,0.6831915378570557,2,193
345,0.6820898056030273,154,345
391,0.6820757389068604,53,391
23,0.6818134188652039,208,23
33,0.6815243363380432,20,33
478,0.681370198726654,124,478
280,0.6803476810455322,145,280
386,0.6798931956291199,67,386
154,0.6786807775497437,54,154
440,0.6780732274055481,167,440
217,0.6778636574745178,95,217
170,0.6773645281791687,197,170
370,0.6772813200950623,15,370
2,0.6769892573356628,185,2
45,0.6769036054611206,148,45
38,0.6765666007995605,46,38
20,0.6754150986671448,134,20
410,0.6749760508537292,80,410
292,0.6743736267089844,155,292
206,0.6742412447929382,12,206
48,0.6726295948028564,178,48
316,0.6725113391876221,32,316
262,0.6722817420959473,143,262
165,0.6718476414680481,56,165
12,0.6709941029548645,164,12
66,0.6697885990142822,203,66
240,0.6695592999458313,142,240
219,0.6690533757209778,6,219
291,0.6688109636306763,178,291
31,0.6684321165084839,192,31
418,0.6669611930847168,169,418
223,0.6656124591827393,34,223
102,0.663516640663147,25,102
57,0.6630441546440125,169,57
147,0.6627013087272644,6,147
468,0.6615037322044373,45,468
416,0.6613728404045105,182,416
365,0.6612274050712585,39,365
42,0.6611416339874268,124,42
80,0.6606664657592773,64,80
459,0.6600496172904968,102,459
159,0.6595854163169861,150,159
271,0.6593141555786133,76,271
17,0.6592804193496704,118,17
455,0.6590597033500671,130,455
250,0.6584198474884033,197,250
260,0.6577627658843994,163,260
324,0.6573252081871033,6,324
173,0.6560728549957275,188,173
334,0.6555175185203552,36,334
37,0.6546691060066223,146,37
140,0.6545976400375366,8,140
75,0.6544836759567261,155,75
44,0.6536312103271484,15,44
493,0.6531568169593811,26,493
326,0.6527095437049866,107,326
359,0.6515369415283203,174,359
278,0.651113748550415,15,278
161,0.6508822441101074,195,161
194,0.6508499979972839,161,194
26,0.6505885124206543,5,26
371,0.6496995687484741,28,371
93,0.6493676900863647,8,93
352,0.6491976380348206,105,352
441,0.6490681767463684,180,441
79,0.6477454900741577,53,79
119,0.6475356817245483,98,119
229,0.6465004682540894,123,229
202,0.6464694142341614,80,202
398,0.6456729769706726,9,398
127,0.6447296738624573,191,127
41,0.6435204744338989,180,41
239,0.6433151364326477,13,239
1,0.6431618928909302,9,1
86,0.6423741579055786,176,86
288,0.6415397524833679,224,288
131,0.6402773261070251,198,131
135,0.639536440372467,115,135
52,0.6372935771942139,174,52
277,0.6369808912277222,153,277
115,0.6369166970252991,13,115
153,0.636082649230957,163,153
189,0.6359678506851196,33,189
456,0.6359519362449646,130,456
275,0.6355491280555725,119,275
