,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_25/beta-0.6/,89.896,73.38019122831676,73.35930421192347,46.35765427738059,25.0,0.6,0.005868860986083746
clusters_50/beta-0.6/,95.08,69.29148752207341,69.24768931339541,28.934063952125307,50.0,0.6,0.009884773753583431
clusters_100/beta-0.6/,97.054,63.41472961784559,63.319483522960475,16.211249820907287,100.0,0.6,0.018451688811182976
