,similarity,num_datapoints,cluster_id
57,1.0,1,57
185,0.8213803172111511,2,185
209,0.7481744289398193,464,209
218,0.7440292239189148,405,218
160,0.7397984266281128,16,160
217,0.7383578419685364,64,217
144,0.7346286177635193,19,144
175,0.7319952845573425,257,175
12,0.7306975722312927,13,12
226,0.7254173755645752,286,226
244,0.7217687964439392,292,244
54,0.7206501364707947,442,54
197,0.7158749103546143,301,197
235,0.7147424817085266,270,235
41,0.7129439115524292,197,41
178,0.7108548879623413,322,178
75,0.7090330123901367,55,75
29,0.707718014717102,159,29
101,0.7063625454902649,287,101
191,0.7062302827835083,4,191
11,0.7035574913024902,305,11
81,0.7027076482772827,302,81
24,0.702587902545929,314,24
179,0.7004926800727844,191,179
28,0.6991678476333618,122,28
193,0.6989619731903076,30,193
199,0.6978018283843994,7,199
14,0.6966167688369751,343,14
162,0.6963906288146973,382,162
71,0.6956532597541809,237,71
88,0.695652425289154,297,88
227,0.6952022910118103,284,227
67,0.6948429942131042,81,67
223,0.6943447589874268,132,223
166,0.6939266324043274,278,166
124,0.6932672262191772,124,124
39,0.6916071176528931,241,39
130,0.6903549432754517,77,130
152,0.6899284720420837,229,152
201,0.6893706321716309,475,201
133,0.6891309022903442,284,133
151,0.6889359951019287,25,151
148,0.6877967715263367,387,148
46,0.6863033175468445,170,46
158,0.6858825087547302,433,158
17,0.6857896447181702,273,17
163,0.6857437491416931,343,163
91,0.6847753524780273,48,91
42,0.6843348145484924,273,42
19,0.6837920546531677,247,19
97,0.6824530959129333,22,97
221,0.6811820864677429,54,221
52,0.6811145544052124,298,52
115,0.6797195076942444,335,115
127,0.6790039539337158,28,127
30,0.6789557933807373,199,30
131,0.678400456905365,235,131
215,0.6781056523323059,134,215
169,0.677729070186615,243,169
36,0.677440345287323,234,36
207,0.6766059994697571,11,207
32,0.676501452922821,213,32
7,0.6763088703155518,315,7
22,0.6751565933227539,119,22
44,0.6747746467590332,182,44
112,0.6737682819366455,221,112
224,0.6732521057128906,373,224
82,0.6732481122016907,7,82
10,0.6728110909461975,40,10
74,0.6716891527175903,206,74
159,0.6681032180786133,243,159
95,0.6663429737091064,8,95
87,0.6640468239784241,297,87
83,0.6640229821205139,255,83
241,0.6638638377189636,284,241
