,similarity,num_datapoints,cluster_id
408,1.000000238418579,1,408
295,1.0,1,295
365,1.0,1,365
169,1.0,1,169
132,1.0,1,132
225,1.0,1,225
196,0.9999999403953552,1,196
242,0.9999999403953552,1,242
216,0.9999998807907104,1,216
369,0.9999998807907104,1,369
426,0.8709937334060669,2,426
150,0.8625508546829224,2,150
129,0.8401996493339539,2,129
489,0.8191981911659241,2,489
381,0.8146941661834717,3,381
434,0.7918353080749512,5,434
2,0.7793253660202026,4,2
495,0.7765346765518188,6,495
3,0.7711126208305359,4,3
228,0.7705993056297302,3,228
306,0.7677066326141357,173,306
363,0.7670730352401733,22,363
311,0.765561044216156,2,311
200,0.7553916573524475,181,200
35,0.7524557709693909,14,35
64,0.7514953017234802,131,64
174,0.7507970929145813,12,174
323,0.7439046502113342,5,323
377,0.7438664436340332,12,377
290,0.7425058484077454,2,290
60,0.7418529391288757,193,60
163,0.7402280569076538,4,163
397,0.7383130788803101,149,397
192,0.7377644181251526,141,192
324,0.7374870181083679,36,324
403,0.736582338809967,18,403
480,0.7349616289138794,10,480
173,0.7343374490737915,112,173
371,0.7339813113212585,9,371
496,0.7325899600982666,6,496
8,0.7323203086853027,213,8
203,0.7317830324172974,23,203
80,0.7304647564888,14,80
498,0.730370819568634,192,498
416,0.7276999354362488,10,416
78,0.7260182499885559,275,78
31,0.7245979905128479,195,31
422,0.7240658402442932,130,422
475,0.7233076095581055,53,475
348,0.7232455015182495,248,348
230,0.723064661026001,99,230
248,0.7223041653633118,164,248
427,0.7217528820037842,45,427
38,0.7203720808029175,126,38
18,0.7202789187431335,181,18
21,0.7202704548835754,60,21
157,0.7201710939407349,5,157
89,0.7194676399230957,21,89
136,0.7193875908851624,56,136
137,0.7193113565444946,159,137
355,0.7191489338874817,321,355
398,0.7169194221496582,7,398
409,0.7166118025779724,35,409
342,0.7165156602859497,97,342
191,0.7163816094398499,18,191
402,0.7158511877059937,39,402
231,0.7154106497764587,289,231
34,0.7147500514984131,35,34
101,0.7145383954048157,19,101
170,0.7145188450813293,6,170
451,0.714006781578064,4,451
279,0.7135121822357178,145,279
162,0.7131654620170593,184,162
282,0.7124830484390259,214,282
326,0.7123066782951355,36,326
362,0.7113601565361023,229,362
394,0.7103544473648071,158,394
72,0.7099516987800598,192,72
446,0.7097572684288025,138,446
160,0.7094912528991699,62,160
343,0.7094671130180359,194,343
367,0.7088961601257324,246,367
317,0.7087405920028687,5,317
55,0.7086397409439087,147,55
379,0.7085148692131042,129,379
180,0.708404541015625,50,180
430,0.7082906365394592,17,430
178,0.7081372737884521,32,178
118,0.7076593041419983,238,118
232,0.7075145840644836,21,232
125,0.7073770761489868,207,125
271,0.7073463201522827,96,271
115,0.7062089443206787,50,115
331,0.7058432102203369,112,331
19,0.7048014402389526,217,19
477,0.7046717405319214,151,477
332,0.7036416530609131,92,332
201,0.7035685181617737,9,201
133,0.7033039927482605,23,133
75,0.7032956480979919,60,75
67,0.7031906843185425,3,67
458,0.7031524181365967,4,458
218,0.7026681303977966,78,218
70,0.7026187181472778,19,70
277,0.7022885680198669,191,277
17,0.7016986012458801,47,17
181,0.7016704678535461,153,181
102,0.7008978724479675,17,102
374,0.7006780505180359,14,374
281,0.7003248333930969,219,281
321,0.6998516917228699,177,321
428,0.6990470290184021,43,428
423,0.6976838707923889,77,423
195,0.6976278424263,62,195
425,0.6964681148529053,178,425
199,0.6961341500282288,47,199
452,0.6959863901138306,266,452
74,0.6955731511116028,310,74
214,0.6955475211143494,308,214
395,0.6952104568481445,24,395
476,0.6950711607933044,173,476
16,0.6948263645172119,267,16
37,0.6942506432533264,22,37
221,0.6940727233886719,71,221
439,0.6936132907867432,3,439
327,0.6926193833351135,125,327
450,0.6925853490829468,45,450
349,0.6921053528785706,105,349
444,0.6919883489608765,132,444
301,0.6918041706085205,170,301
302,0.6915774345397949,94,302
54,0.691487193107605,16,54
164,0.6906420588493347,5,164
184,0.6905945539474487,9,184
145,0.6901625394821167,8,145
27,0.690096378326416,11,27
283,0.6895871758460999,17,283
447,0.6893140077590942,2,447
457,0.6882293224334717,172,457
91,0.6861003041267395,222,91
179,0.6859344840049744,274,179
1,0.6854117512702942,6,1
415,0.6848620772361755,14,415
175,0.6843590140342712,20,175
189,0.6842794418334961,3,189
92,0.6841643452644348,38,92
116,0.6841544508934021,70,116
376,0.6838619709014893,129,376
209,0.683741569519043,116,209
186,0.6830046772956848,320,186
58,0.6822622418403625,253,58
158,0.6815188527107239,157,158
223,0.6814481019973755,246,223
406,0.6813474297523499,6,406
435,0.6807405948638916,10,435
244,0.6792507171630859,7,244
50,0.6790947318077087,156,50
245,0.6789567470550537,16,245
396,0.6789340972900391,86,396
