,similarity,num_datapoints,cluster_id
8,0.7292218804359436,28,8
45,0.7100197672843933,419,45
82,0.6984325051307678,444,82
49,0.6921944618225098,277,49
48,0.6815544366836548,292,48
16,0.6754527688026428,301,16
80,0.6749324202537537,385,80
109,0.669145405292511,521,109
103,0.6675670146942139,412,103
4,0.666114866733551,426,4
72,0.6611203551292419,462,72
111,0.6578940749168396,336,111
120,0.6560510396957397,454,120
15,0.653850793838501,456,15
105,0.6525923013687134,231,105
83,0.6468676328659058,439,83
7,0.6449072360992432,391,7
101,0.6432523727416992,439,101
29,0.6430569887161255,333,29
13,0.6398645043373108,474,13
65,0.6388568878173828,449,65
88,0.636311948299408,366,88
73,0.6354553699493408,353,73
64,0.6342966556549072,371,64
91,0.6312742233276367,385,91
75,0.629355788230896,606,75
69,0.6125503778457642,212,69
90,0.6093809008598328,299,90
115,0.6058927774429321,550,115
99,0.6051648259162903,441,99
34,0.6049033403396606,319,34
5,0.6043525338172913,322,5
92,0.6017370820045471,226,92
85,0.6017102599143982,460,85
33,0.6011059880256653,524,33
54,0.5990800261497498,498,54
43,0.5976991653442383,344,43
28,0.5960292220115662,576,28
121,0.5960056781768799,470,121
81,0.5950077176094055,519,81
108,0.5918387770652771,524,108
44,0.590650200843811,464,44
55,0.58979731798172,496,55
124,0.5887606143951416,188,124
2,0.5886024236679077,397,2
123,0.5854089260101318,330,123
51,0.5809084177017212,238,51
100,0.5799250602722168,449,100
96,0.5772294402122498,419,96
84,0.5732703804969788,662,84
47,0.5729801058769226,346,47
12,0.5713433623313904,432,12
53,0.5702551603317261,469,53
42,0.5702481865882874,376,42
95,0.5687360763549805,422,95
18,0.5671830773353577,82,18
117,0.5670918226242065,492,117
20,0.5665087699890137,222,20
25,0.5656417012214661,336,25
98,0.5617879033088684,595,98
113,0.5608283281326294,455,113
104,0.5596715211868286,403,104
89,0.5586286783218384,413,89
87,0.5586215853691101,231,87
107,0.5582231283187866,356,107
10,0.5565911531448364,394,10
106,0.5522753596305847,484,106
32,0.5521660447120667,332,32
26,0.5520229339599609,215,26
30,0.5484828948974609,267,30
71,0.546364426612854,502,71
14,0.5462942719459534,457,14
36,0.5452594757080078,434,36
31,0.5450186133384705,373,31
24,0.5443980097770691,397,24
77,0.5413238406181335,462,77
0,0.5391402244567871,354,0
19,0.5390387773513794,424,19
59,0.5378015041351318,359,59
52,0.5370731949806213,358,52
21,0.5360827445983887,417,21
74,0.5351243019104004,296,74
6,0.5337547659873962,436,6
62,0.533460795879364,349,62
66,0.5332533121109009,409,66
35,0.5321887731552124,461,35
27,0.5307741165161133,445,27
37,0.5264147520065308,366,37
56,0.525775134563446,183,56
67,0.5255997776985168,249,67
39,0.5250248312950134,472,39
63,0.524109959602356,592,63
40,0.5238569378852844,293,40
41,0.5237838625907898,336,41
112,0.5223008394241333,386,112
78,0.5222607254981995,433,78
94,0.5220637321472168,325,94
60,0.522013783454895,417,60
118,0.5171522498130798,441,118
102,0.5170542597770691,508,102
58,0.5144757628440857,383,58
38,0.512617826461792,376,38
17,0.5125612616539001,335,17
68,0.5109381675720215,496,68
61,0.5081812143325806,470,61
114,0.5044798254966736,385,114
9,0.5034138560295105,480,9
1,0.5025926828384399,619,1
57,0.5001507997512817,441,57
23,0.4956270754337311,531,23
86,0.49197736382484436,290,86
3,0.49016863107681274,435,3
46,0.48844578862190247,285,46
76,0.48623138666152954,427,76
93,0.48535865545272827,314,93
22,0.4831094741821289,335,22
50,0.4829890727996826,520,50
122,0.47924816608428955,292,122
119,0.4722825288772583,491,119
110,0.46857455372810364,476,110
97,0.4611964821815491,441,97
70,0.4445647895336151,536,70
79,0.4409974217414856,356,79
116,0.4399494230747223,496,116
11,0.43156978487968445,557,11
