,similarity,num_datapoints,cluster_id
101,0.7843825221061707,7,101
147,0.7150480151176453,420,147
98,0.709997832775116,398,98
65,0.6898394227027893,252,65
135,0.6864274144172668,403,135
16,0.6815745830535889,284,16
14,0.672023355960846,172,14
133,0.6703433394432068,367,133
75,0.6698188781738281,324,75
129,0.6660293340682983,420,129
22,0.6650003790855408,200,22
76,0.6638590693473816,173,76
23,0.663417398929596,348,23
46,0.6628201007843018,256,46
50,0.6625643968582153,331,50
79,0.6613350510597229,321,79
82,0.6545335054397583,361,82
81,0.6529529690742493,571,81
27,0.6521872878074646,46,27
90,0.6515262722969055,324,90
100,0.648430585861206,468,100
34,0.648106038570404,202,34
54,0.6480463147163391,206,54
47,0.6465429663658142,370,47
134,0.6461873650550842,319,134
127,0.6444922685623169,229,127
52,0.6442930102348328,330,52
28,0.6440659165382385,323,28
141,0.6436648368835449,504,141
103,0.6432344913482666,453,103
70,0.6329954862594604,299,70
137,0.6308078169822693,414,137
102,0.628602921962738,286,102
4,0.6215092539787292,190,4
26,0.6158905625343323,191,26
60,0.6140667796134949,282,60
0,0.6130922436714172,396,0
80,0.6096556186676025,539,80
149,0.6032876968383789,310,149
88,0.6027267575263977,291,88
3,0.6011249423027039,442,3
44,0.6010878682136536,374,44
51,0.5995927453041077,303,51
7,0.5959085822105408,568,7
55,0.5955405831336975,473,55
72,0.5952743887901306,468,72
13,0.595059335231781,202,13
85,0.5949482917785645,251,85
106,0.594034731388092,441,106
53,0.5936042666435242,237,53
36,0.5926946401596069,435,36
15,0.5920324325561523,518,15
91,0.5917408466339111,372,91
122,0.5905115008354187,583,122
112,0.5861625671386719,336,112
63,0.5854264497756958,298,63
8,0.5841981768608093,236,8
84,0.5838369727134705,290,84
37,0.583682656288147,186,37
5,0.5826773643493652,280,5
10,0.5815770030021667,438,10
42,0.5807780027389526,349,42
126,0.5786545872688293,25,126
130,0.5765138268470764,313,130
49,0.5754966139793396,244,49
92,0.5752435922622681,247,92
99,0.5745387077331543,225,99
96,0.574469804763794,439,96
66,0.5731422305107117,366,66
17,0.5730293989181519,423,17
89,0.572540819644928,338,89
107,0.5722984671592712,362,107
105,0.5713583827018738,428,105
58,0.5696488618850708,319,58
45,0.569543719291687,422,45
142,0.5648503303527832,371,142
97,0.5612476468086243,193,97
113,0.5609195828437805,404,113
9,0.5607417225837708,292,9
62,0.5572362542152405,285,62
104,0.5545729994773865,396,104
111,0.5511199831962585,458,111
125,0.5479347109794617,343,125
115,0.547771692276001,265,115
33,0.5476226210594177,422,33
93,0.5442951917648315,252,93
123,0.5439333915710449,333,123
35,0.5435752868652344,433,35
136,0.5433536171913147,344,136
6,0.5433361530303955,239,6
94,0.5431026816368103,433,94
32,0.5425916910171509,256,32
38,0.542201042175293,396,38
67,0.541905403137207,391,67
120,0.5416752099990845,243,120
86,0.540734052658081,335,86
118,0.5400429964065552,302,118
139,0.5397828817367554,434,139
31,0.5387464761734009,405,31
131,0.5381332635879517,369,131
57,0.5375725030899048,430,57
24,0.5374906659126282,398,24
140,0.5364318490028381,194,140
114,0.5355672836303711,427,114
68,0.5346103310585022,600,68
73,0.5345922708511353,311,73
39,0.5337361097335815,300,39
61,0.532755970954895,186,61
71,0.5302382111549377,398,71
48,0.5301768183708191,361,48
132,0.5285640954971313,291,132
144,0.5268778800964355,290,144
59,0.5219472646713257,353,59
2,0.5219353437423706,411,2
78,0.5189254283905029,381,78
30,0.517410397529602,386,30
56,0.5173607468605042,364,56
18,0.5155426263809204,352,18
121,0.514192521572113,201,121
138,0.5128730535507202,22,138
117,0.512385904788971,448,117
69,0.5121142864227295,492,69
41,0.5102080702781677,239,41
12,0.5086514353752136,281,12
29,0.5071415305137634,350,29
116,0.5065093636512756,294,116
19,0.505980372428894,287,19
77,0.50541752576828,217,77
43,0.5018365979194641,353,43
108,0.5016934275627136,242,108
87,0.49901270866394043,201,87
20,0.4986126124858856,437,20
25,0.49825677275657654,366,25
143,0.49587133526802063,420,143
40,0.49253907799720764,373,40
109,0.4913417100906372,471,109
124,0.4909406900405884,290,124
110,0.48889175057411194,93,110
64,0.4795307517051697,408,64
1,0.4725637435913086,376,1
146,0.46980977058410645,460,146
74,0.4649513065814972,551,74
83,0.45428237318992615,430,83
148,0.44998595118522644,355,148
145,0.4498058557510376,398,145
95,0.43976518511772156,467,95
119,0.4387759864330292,321,119
21,0.42064088582992554,319,21
