,similarity,num_datapoints,cluster_id
3371,0.6541486978530884,1422,3371
3270,0.6361892819404602,414,3270
851,0.6248023509979248,637,851
189,0.6066787242889404,130,189
2735,0.5726649761199951,309,2735
4379,0.5607819557189941,427,4379
2860,0.5590064525604248,725,2860
1866,0.5569136738777161,5112,1866
4494,0.5546734929084778,5002,4494
3135,0.5446674823760986,280,3135
4068,0.5311833620071411,893,4068
4982,0.5226585865020752,1838,4982
1368,0.5088053941726685,1977,1368
1864,0.4971475601196289,1944,1864
1522,0.4963133633136749,1348,1522
4229,0.49433794617652893,5022,4229
2894,0.4930579364299774,2224,2894
1643,0.4926455616950989,865,1643
121,0.48364701867103577,480,121
2705,0.48203331232070923,929,2705
1375,0.48082759976387024,1449,1375
1116,0.4807729721069336,1171,1116
4563,0.4800696074962616,1399,4563
4960,0.45785093307495117,694,4960
2702,0.4547083079814911,1066,2702
1905,0.45443853735923767,490,1905
176,0.45443543791770935,5316,176
4732,0.4526394009590149,2539,4732
3720,0.4495554566383362,851,3720
2708,0.43636152148246765,513,2708
4339,0.4312152564525604,562,4339
4918,0.4029851257801056,1972,4918
