,similarity,num_datapoints,cluster_id
1263,0.6857839822769165,1112,1263
343,0.6706757545471191,938,343
56,0.6675920486450195,1821,56
1719,0.6574069261550903,20,1719
1869,0.6456751227378845,490,1869
1898,0.6443098783493042,147,1898
1967,0.6275745630264282,2456,1967
872,0.6252875924110413,288,872
1889,0.6228787899017334,211,1889
1486,0.622462272644043,416,1486
1558,0.6173167824745178,3863,1558
333,0.6114771962165833,1176,333
1568,0.6091749668121338,1169,1568
122,0.6006927490234375,241,122
571,0.5970188975334167,1692,571
311,0.596116304397583,2473,311
713,0.5945836901664734,26,713
1198,0.5931854248046875,1626,1198
278,0.59241783618927,648,278
1706,0.5923386216163635,1711,1706
1637,0.5898446440696716,1752,1637
46,0.588270366191864,2450,46
1407,0.5882650017738342,1210,1407
1654,0.5822588205337524,1353,1654
281,0.5795198082923889,3236,281
1854,0.5785393714904785,2107,1854
391,0.5783987045288086,1886,391
556,0.5767698884010315,2983,556
856,0.5767612457275391,379,856
1066,0.5747364163398743,287,1066
1828,0.5741697549819946,1727,1828
1842,0.5741333961486816,2709,1842
1488,0.5739302039146423,1928,1488
682,0.5693861842155457,4157,682
1313,0.5657612085342407,971,1313
24,0.5606319308280945,167,24
1366,0.559303343296051,183,1366
439,0.552797257900238,795,439
216,0.5458272695541382,97,216
528,0.5431618690490723,952,528
887,0.5426570177078247,280,887
1506,0.5301384329795837,766,1506
1315,0.5288069844245911,1703,1315
1801,0.5274637937545776,782,1801
1582,0.5231333374977112,1850,1582
271,0.5222809910774231,1473,271
1780,0.513608455657959,284,1780
1278,0.5073329210281372,1792,1278
1523,0.4993622899055481,1428,1523
270,0.4974007308483124,276,270
180,0.49384570121765137,3005,180
1794,0.48783954977989197,2508,1794
